Country,Longitude,Latitude
Zambia,59,-159
South africa,80,-285
Botswana,45,-247
Namibia,-24,-209
Angola,-20,-150
DRC,14,-39
Tanzania,130,-67
Zimbabwe,95,-199
Malawi,149,-143
Mozambique,197,-150
Madagascar,249,-193
Egypt,90,224
Libya,-44,246
Algeria,-163,244
Morocco,-228,283
Tunisia,-77,294
Western sahara,-286,222
Mauritania,-286,173
Mali,-191,152
Niger,-94,150
Chad,-12,124
Sudan,74,130
Ethopia,182,73
Kenya,174,-13
Nigeria,-110,74
Benin,-142,88
Togo,-154,66
Ghana,-186,56
Cote d'l voire,-231,56
Liberia,-250,48
Sieria leone,-274,70
Guinea,-275,93
Guinea bissau,-297,101
Gambia,-299,117
Senego,-307,132
Bukina faso,-195,102
Cameroon,-70,27
Equoterial guinea,-68,-0.1
Gabon,-74,-25
Congo,-20,-13
Central african republic,-15,43
Rwanda,114,-31
Burundi,111,-47
Uganda,128,-5
Somalia,238,11
Eritrea,185,137
Dji bouti,226,102
South sudan,86,56
